Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict
Pathaan,1050.0,524.0,657.0,392.0,250.0,All Time Blockbuster
Baahubali 2 The Conclusion,1788.0,510.0,1416.0,371.0,250.0,All Time Blockbuster
KGF Chapter 2,1208.0,435.0,1000.0,207.0,100.0,All Time Blockbuster
Dangal,2070.0,374.0,535.0,1535.0,70.0,All Time Blockbuster
Sanju,588.0,342.0,438.0,150.0,100.0,All Time Blockbuster
PK,792.0,340.0,489.0,303.0,85.0,All Time Blockbuster
Tiger Zinda Hai,558.0,339.0,433.0,124.0,210.0,Blockbuster
Bajrangi Bhaijaan,922.0,320.0,432.0,489.0,90.0,All Time Blockbuster
War,471.0,303.0,375.0,96.0,150.0,Blockbuster
Padmaavat,585.0,302.0,400.0,185.0,215.0,Blockbuster
Sultan,627.0,300.0,421.0,206.0,80.0,Blockbuster
Kabir Singh,377.0,278.0,330.0,47.0,55.0,All Time Blockbuster
Tanhaji: The Unsung Warrior,361.0,277.0,325.0,36.0,150.0,Blockbuster
RRR,1230.0,272.0,915.0,314.0,550.0,Blockbuster
Dhoom 3,558.0,271.0,372.0,186.0,175.0,All Time Blockbuster
The Kashmir Files,341.0,252.0,295.0,46.0,20.0,All Time Blockbuster
Brahmastra Part One: Shiva,431.0,249.0,318.0,113.0,350.0,Hit
URI The Surgical Strike,341.0,244.0,293.0,48.0,70.0,All Time Blockbuster
Simmba,390.0,240.0,295.0,95.0,90.0,Blockbuster
Drishyam 2,342.0,239.0,282.0,59.0,50.0,All Time Blockbuster
Kick,378.0,231.0,310.0,68.0,100.0,SuperHit
Krrish 3,374.0,231.0,313.0,61.0,94.0,Blockbuster
Chennai Express,422.0,227.0,310.0,112.0,115.0,SuperHit
Bharat,321.0,212.0,251.0,70.0,165.0,Hit
Housefull 4,296.0,210.0,247.0,49.0,175.0,SuperHit
Prem Ratan Dhan Payo,405.0,210.0,310.0,95.0,180.0,SuperHit
Golmaal Again,308.0,205.0,262.0,45.0,80.0,Blockbuster
Good Newwz,316.0,205.0,242.0,74.0,60.0,Blockbuster
Mission Mangal,290.0,203.0,236.0,54.0,40.0,Blockbuster
3 Idiots,460.0,202.0,274.0,186.0,55.0,All Time Blockbuster
Happy New Year,397.0,199.0,295.0,102.0,150.0,Hit
Ek Tha Tiger,320.0,198.0,263.0,57.0,75.0,Blockbuster
Sooryavanshi,293.0,195.0,230.0,62.0,180.0,SuperHit
2,744.0,190.0,551.0,193.0,543.0,Average
Yeh Jawaani Hai Deewani,318.0,188.0,242.0,76.0,75.0,Blockbuster
Bhool Bhulaiyaa 2,265.0,184.0,216.0,49.0,80.0,Blockbuster
Bajirao Mastani,362.0,184.0,263.0,99.0,145.0,Hit
Bang Bang!,340.0,174.0,270.0,70.0,160.0,Hit
Race 3,300.0,169.0,217.0,83.0,170.0,Average
Baaghi 2,257.0,165.0,211.0,45.0,75.0,Blockbuster
Raees,285.0,164.0,227.0,57.0,92.0,Hit
Kesari,208.0,155.0,183.0,25.0,100.0,Hit
Total Dhamaal,232.0,155.0,183.0,48.0,105.0,SuperHit
Dabangg 2,265.0,155.0,226.0,39.0,84.0,Blockbuster
Chhichhore,211.0,153.0,180.0,31.0,70.0,Blockbuster
Tanu Weds Manu Returns,258.0,150.0,214.0,44.0,39.0,Blockbuster
Bodyguard,230.0,148.0,189.0,41.0,60.0,Blockbuster
Dilwale,388.0,148.0,212.0,176.0,165.0,Average
Super 30,210.0,147.0,171.0,39.0,60.0,SuperHit
Tu Jhoothi Main Makkar,223.0,147.0,175.0,48.0,70.0,Hit
Dabangg 3,218.0,146.0,178.0,40.0,90.0,Average
Saaho,451.0,145.0,359.0,92.0,350.0,Below Average
Thugs Of Hindostan,327.0,145.0,194.0,133.0,300.0,Disaster
Dream Girl,195.0,141.0,163.0,32.0,30.0,SuperHit
Singham Returns,216.0,140.0,200.0,16.0,105.0,SuperHit
Dabangg,215.0,140.0,207.0,7.0,42.0,Blockbuster
Gully Boy,235.0,139.0,164.0,71.0,60.0,SuperHit
Judwaa 2,227.0,138.0,192.0,35.0,65.0,SuperHit
Badhaai Ho,220.0,137.0,176.0,44.0,23.0,Blockbuster
The Kerala Story,164.0,135.0,161.0,3.0,15.0,Blockbuster
Toilet Ek Prem Katha,316.0,134.0,186.0,130.0,18.0,SuperHit
Rowdy Rathore,198.0,133.0,172.0,26.0,45.0,Blockbuster
M.S. Dhoni: The Untold Story,215.0,133.0,184.0,30.0,104.0,Hit
Gangubai Kathiawadi,211.0,131.0,155.0,56.0,180.0,Hit
Stree,182.0,129.0,167.0,15.0,30.0,Blockbuster
Airlift,228.0,128.0,183.0,45.0,30.0,SuperHit
Avatar: The Way of Water,17380.0,127.0,477.0,16902.0,3200.0,Blockbuster
Rustom,216.0,127.0,177.0,39.0,50.0,SuperHit
Raazi,195.0,123.0,158.0,37.0,37.0,Blockbuster
Ready,185.0,120.0,153.0,31.0,40.0,Blockbuster
Jab Tak Hai Jaan,235.0,120.0,167.0,67.0,50.0,SuperHit
Tubelight,211.0,119.0,165.0,45.0,100.0,Average
Baahubali,650.0,118.0,516.0,134.0,180.0,Blockbuster
Agneepath,195.0,118.0,159.0,36.0,71.0,SuperHit
Badrinath Ki Dulhania,201.0,117.0,162.0,38.0,44.0,SuperHit
Goliyon Ki Rasleela Ram-Leela,218.0,117.0,158.0,59.0,88.0,Hit
Jai Ho,186.0,117.0,150.0,36.0,65.0,Hit
Jolly LLB 2,197.0,117.0,162.0,34.0,30.0,SuperHit
Avengers End Game,18970.0,116.0,445.0,13335.0,2500.0,All Time Blockbuster
Bala,162.0,116.0,135.0,27.0,35.0,SuperHit
Ra.One,206.0,116.0,156.0,49.0,130.0,Below Average
Ghajini,194.0,114.0,157.0,36.0,52.0,Blockbuster
Ae Dil Hai Mushkil,240.0,113.0,158.0,82.0,70.0,SuperHit
Holiday,178.0,112.0,153.0,24.0,50.0,SuperHit
Barfi!,175.0,112.0,145.0,30.0,40.0,SuperHit
Housefull 2,188.0,112.0,151.0,36.0,72.0,SuperHit
Housefull 3,185.0,110.0,154.0,31.0,85.0,Hit
Gold,158.0,109.0,141.0,17.0,75.0,Hit
Kisi Ka Bhai Kisi Ki Jaan,182.0,109.0,130.0,52.0,100.0,Below Average
Sonu Ke Titu Ki Sweety,156.0,108.0,139.0,17.0,40.0,Blockbuster
Bhaag Milkha Bhaag,168.0,108.0,146.0,21.0,30.0,SuperHit
Don 2: The Chase Continues,210.0,108.0,144.0,65.0,76.0,Hit
Golmaal 3,162.0,106.0,143.0,18.0,40.0,Blockbuster
Pushpa: The Rise (Part 1),350.0,106.0,313.0,36.0,150.0,SuperHit
ABCD 2,166.0,106.0,146.0,19.0,65.0,SuperHit
Ek Villain,155.0,105.0,142.0,12.0,39.0,SuperHit
Son Of Sardaar,150.0,105.0,141.0,8.0,40.0,SuperHit
Kaabil,178.0,104.0,145.0,32.0,35.0,Hit
De De Pyaar De,139.0,104.0,113.0,26.0,75.0,Hit
83,193.0,104.0,129.0,64.0,220.0,Disaster
Bol Bachchan,175.0,103.0,144.0,30.0,65.0,Hit
Raid,154.0,103.0,132.0,22.0,35.0,SuperHit
2 States,173.0,102.0,142.0,30.0,50.0,SuperHit
Grand Masti,145.0,102.0,130.0,14.0,35.0,SuperHit
Race 2,162.0,101.0,131.0,30.0,85.0,Hit
Singham,151.0,100.0,130.0,20.0,52.0,SuperHit
Shivaay,147.0,100.0,138.0,8.0,100.0,Below Average
Batla House,127.0,99.0,116.0,11.0,50.0,Hit
Zero,178.0,96.0,120.0,57.0,200.0,Disaster
Welcome Back,168.0,96.0,130.0,38.0,90.0,Average
Baaghi 3,137.0,96.0,114.0,23.0,100.0,Below Average
Baby,142.0,95.0,129.0,13.0,59.0,Hit
Manikarnika: The Queen of Jhansi,142.0,94.0,116.0,25.0,101.0,Average
Luka Chuppi,128.0,94.0,111.0,17.0,20.0,SuperHit
Raajneeti,145.0,93.0,126.0,19.0,60.0,SuperHit
Talaash,175.0,93.0,121.0,53.0,60.0,Hit
Satyameva Jayate,121.0,90.0,116.0,5.0,45.0,Hit
Bholaa,123.0,90.0,108.0,15.0,100.0,Average
Singh Is Bliing,146.0,90.0,120.0,26.0,76.0,Average
Zindagi Na Milegi Dobara,153.0,89.0,121.0,31.0,55.0,Hit
Badla,140.0,88.0,104.0,36.0,20.0,SuperHit
Gabbar is Back,135.0,87.0,118.0,17.0,72.0,Hit
Rab Ne Bana Di Jodi,151.0,85.0,114.0,36.0,35.0,Blockbuster
Kantara,407.0,84.0,363.0,44.0,16.0,All Time Blockbuster
Kalank,146.0,84.0,99.0,47.0,150.0,Flop
Pati Patni Aur Woh,109.0,84.0,99.0,10.0,40.0,Hit
JugJugg Jeeyo,137.0,84.0,99.0,38.0,100.0,Above Average
Fan,182.0,84.0,113.0,69.0,85.0,Average
My Name Is Khan,224.0,82.0,111.0,112.0,85.0,Hit
Brothers,140.0,82.0,114.0,25.0,105.0,Average
Padman,205.0,81.0,105.0,100.0,20.0,SuperHit
Oh My God,149.0,81.0,109.0,40.0,20.0,Blockbuster
